Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
LELY FRIGUS-Lin;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Ecolab sp. z o.o.;6,2 g/100 g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
AQUAECA;Naatriumkloriidi elektrolüüsil saadud aktiivkloor;puudub;Tooteliik 1, 2, 3, 4, 5;31.12.2024;NPP IZUMRUD;500 mg/l;Tavatarbija ja kutsealaseks kasutamiseks
"DUTRION Powder Component A; DUTRION Powder Component B";Naatriumkloriti happega töötlemisel saadud kloordioksiid;puudub;Tooteliik 2, 3, 4, 5, 11, 12;31.12.2024;Duka Holding b.v.;0,002;Kutsealaseks kasutamiseks
AGAVOX-N;Peräädikhape saadud tetraatsetüületüleendiamiinist ja naatriumperkarbonaadist;79–21-0;Tooteliik 2, 3, 4;1.01.2022;HYPRED SAS;13,2 g/100g;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1276"
HYPRA`ZUR;Peräädikhape saadud tetraatsetüületüleendiamiinist ja naatriumperkarbonaadist;79–21-0;Tooteliik 2, 3;1.01.2022;HYPRED SAS;6 g/100g;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1276"
D 10 ALCALIN;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 4;1.01.2022;HYPRED SAS;4,1 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
KATRIN Hand Sanitizing Gel;Etanool;64-17-5;Tooteliik 1;31.12.2024;Metsä Tissue Oyi;80,8 g/100g;Kutsealaseks kasutamiseks
KATRIN Sanitizing Foamwash;"1) Didetsüüldimetüülammooniumkloriid; 2) C12-16-alküüldimetüülbensüülammooniumkloriid";"1) 7173-51-5; 2) 68424-85-1";Tooteliik 1;31.12.2024;Metsä Tissue Oyi;"1) 0,25 g/100g; 2) 0,5 g/100g";Kutsealaseks kasutamiseks
KATRIN Seat Sanitizer (Toilet);"1) Didetsüüldimetüülammooniumkloriid; 2) C12-16-alküüldimetüülbensüülammooniumkloriid";"1) 7173-51-5; 2) 68424-85-1";Tooteliik 2;31.12.2024;Metsä Tissue Oyi;"1) 0,25 g/100g; 2) 0,5 g/100g";Kutsealaseks kasutamiseks
Lely Meteor Care Spray PLUS;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 3;31.12.2024;Lely Consumables B.V.;6 g/100g;Kutsealaseks kasutamiseks
"impralit-Additiv TK X; Alates 14.03.2019; impralit-Additiv TK 3";"1) 2-oktüül-2H-isotiasool-3-oon; 2) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu";"1) 26530-20-1; 2) 55965-84-9";Tooteliik 11;31.12.2024;RÜTGERS Organics GmbH;"1) 60 g/kg (6,0%); 2) 30 g/kg (3,0%)";"Tööstuslikuks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/131"
Kenosept G;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend; 2) Propaan-2-ool";"1) 18472-51-0; 2) 67-63-0";Tooteliik 1;31.12.2024;CID LINES NV;"1) 0,5 %; 2) 62,6 %";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407"
Kenosept L;"1) D-glükoonhappe ja N, N″ -bis (4-klorofenüül)-3,12-diimino- 2,4,11,13-tetraasatetradekaandiamidiini ühend; 2) Propaan-2-ool";"1) 18472-51-0; 2) 67-63-0";Tooteliik 1;31.12.2024;CID LINES NV;"1) 0,5 %; 2) 62,6 %";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407"
Kenolac;L(+)-piimhape;79-33-4;Tooteliik 3;1.05.2022;CID LINES NV;0,036;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Virocid RTU;"1) C12-16-alküüldimetüülbensüülammooniumkloriid ; 2) Didetsüüldimetüülammooniumkloriid; 3) Glutaaraldehüüd";"1) 68424-85-1; 2) 7173-51-5; 3) 111-30-8";Tooteliik 3;31.12.2024;CID LINES NV;"1) 0,08 %; 2) 0,04 %; 3) 0,05 %";"Kutsealaseks kasutamiseks; 3) Komisjoni rakendusmäärus (EL) 2015/1759"
Desinfect CL;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2, 4;1.01.2022;Novadan ApS;94 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
Hypochlor Des;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2, 4;1.01.2022;Novadan ApS;94 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
Foam 136;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2, 4;1.01.2022;Novadan ApS;32 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
Klorrent;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2, 4;1.01.2022;Novadan ApS;35 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
VIP 1;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2, 4;1.01.2022;Novadan ApS;35 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
TASKI Sani 4 in 1 Plus;L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;Diversey Polska Sp. z.o.o.;0,176;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
F 18 Trio;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52–9;Tooteliik 2, 3, 4;1.01.2022;KiiltoClean OY;0,045;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
F 15 Hite;Naatriumhüpokloritist vabanenud aktiivkloor;7681-52–9;Tooteliik 2, 3, 4;1.01.2022;KiiltoClean OY;0,045;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
SANDIK;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Bifenüül-2-ool; 3) Etanool; 4) Propaan-2-ool";"1) 68424-85-1; 2) 90-43-7; 3) 64-17-5; 4) 67-63-0";Tooteliik 2, 3, 4;31.12.2024;Kulukaubandus OÜ;"1) 0,25 g/100g; 2) 0,02 g/100g; 3) 23 g/100g; 4) 8g/100g";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/1084 (TL 3), (EL) 2016/105 (TL2, 4); 4) Komisjoni rakendusmäärus (EL) 2015/407 (TL 1, 2, 4)"
Room Care R2;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Didetsüüldimetüülammooniumkloriid";"1) 68424-85-1; 2) 7173-51-5";Tooteliik 2;31.12.2024;Diversey Polska Sp. z.o.o.;"1) 0,49 %; 2) 0,492 %";Kutsealaseks ja tööstuslikuks kasutamiseks
Teroson VR 200;"1) Propaan-2-ool; 2) C12-16-alküüldimetüülbensüülammooniumkloriid";"1) 67-63-0; 2) 68424-85-1";Tooteliik 2;31.12.2024;Henkel Balti OÜ;"1) 4,5 mg/g; 2) 12,6 mg/g";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/407 (TL 1, 2, 4)"
LIQUIDATOR EC25;"1) Deltametriin; 2) Tetrametriin";"1) 52918-63-5; 2) 7696-12-0";Tooteliik 18;31.12.2024;CERA SAS;"1) 2,50%; 2) 0,25%";"Kutsealaseks kasutamiseks; 1) Komisjoni direktiiv 2011/81/EL"
"Turboshield Base; Turboshield Activator";"Naatriumkloriti happega töötlemisel saadud kloordioksiid; Turboshield Base (L-(+)-piimhape) ; Turboshield Activator (naatriumklorit);";puudub;Tooteliik 3;31.12.2024;Ecolab sp. z o.o.;0,035 g/100g;Kutsealaseks kasutamiseks
Dilurit BC S-System;"Ammooniumsulfaadi ja klooriallika reaktsioonil saadud monoklooramiin ; Dilurit cat (naatriumhüpoklorit); Dilurit BC S (ammooniumkloriid)";puudub;Tooteliik 11, 12;31.12.2024;Kurita Polska Sp.z.o.o.;<1%;Kutsealaseks ja tööstuslikuks kasutamiseks
"Ajax Pure Home Sage & Apple Blossom; Ajax Pure Home Sage & Elderflower";L(+)-piimhape;79-33-4;Tooteliik 2, 4;1.05.2022;Colgate-Palmolive Poland Sp. Z.o.o.;1,3 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Celbrite S12;"1) Propikonasool ; 2) 3-jodo-2-propünüülbutüülkarbamaat ; 3) N- (3-aminopropüül) -N-dodetsüülpropaan-1,3-diamiin";"1) 60207-90-1; 2) 55406-53-6; 3) 2372-82-9";Tooteliik 8;31.12.2024;Protim Limited t/a Koppers Performance Chemicals;"1) 5,93%; 2) 5,33%; 3) 0,1%";Tööstuslikuks kasutamiseks
Des Foam PAA;Peräädikhape;79-21-0;Tooteliik 2, 3, 4;1.10.2020;Novadan ApS;15 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672"
Oxivit Aktiv Plus;Peräädikhape;79-21-0;Tooteliik 2, 3, 4, 5;1.10.2020;Novadan ApS;50 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672"
Oxidan Extra;Peräädikhape;79-21-0;Tooteliik 2, 3, 4, 5;1.10.2020;Novadan ApS;50 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672"
Soft Care Des E;Etanool;64-17-5;Tooteliik 1;31.12.2024;Diversey Polska Sp. z.o.o.;0,715;"Kutsealaseks kasutamiseks;"
Ajax Antibacterial;L(+)-piimhape;79-33-4;Tooteliik 2, 4;1.05.2022;Colgate-Palmolive Poland Sp. Z.o.o.;2,4 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Lonzagard™ DR-19aB;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 4;31.12.2024;Lonza Cologne GmbH;0,045;Kutsealaseks kasutamiseks
Lonzagard™ DR LS-13N;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 2, 4;31.12.2024;Lonza Cologne GmbH;0,0675;Kutsealaseks kasutamiseks
Lonzagard™ DR-60;"1) Didetsüüldimetüülammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 7173-51-5; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;Lonza Cologne GmbH;"1) 6,0%; 2) 5,0%";Kutsealaseks kasutamiseks
DRY DES P hygiene Powder;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 3;31.12.2024;Tierra Products ApS;0,0022;Kutsealaseks ja tööstuslikuks kasutamiseks
MozziWatch Spray;Eucalyptus citriodora õli, hüdreeritud, tsükliline;1245629-80-4;Tooteliik 19;31.12.2024;ExtraWize OÜ;0,3;Tavatarbija kasutamiseks
Chemisept IPA-N;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 1;1.05.2022;Chemi-Pharm AS;"1) 30 g/100g; 2) 45 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
APESIN san;L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;Tana-Chemie GmbH;5,6 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Alco Cid A;Etanool;64-17-5;Tooteliik 2, 4;31.12.2024;CID LINES NV;0,8;Tavatarbija ja kutsealaseks kasutamiseks
AMH Foam;"1) D-glükoonhappe ja N,N-bis (4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 2) Didetsüüldimetüülammooniumkloriid (DDAC)";"1) 18472-51-0; 2) 7173-51-5";Tooteliik 1;31.12.2024;KAY BVBA;"1) 0,9 g/100g; 2) 0,9 g/100g";Kutsealaseks ja tööstuslikuks kasutamiseks
Skinman Foam;Etanool;64-17-5;Tooteliik 1;31.12.2024;Ecolab sp. z o.o.;73,6 g/100g;Kutsealaseks ja tööstuslikuks kasutamiseks
Tulpe Secur;Didetsüüldimetüülammooniumkloriid (DDAC);7173-51-5;Tooteliik 1;31.12.2024;JSC “BS Chemical”;1,2 g/100g;Kutsealaseks kasutamiseks
Sipelgate tõrjepulber, kasutusvalmis pulber;"1) Permetriin; 2) Tanacetum cinerariifolium'i avanenud, küpsetest õitest ülekriitilise süsinikdioksiidiga ekstraheerimise teel Chrysanthemum cinerariaefolium'i ekstrakt";"1) 52645-53-1; 2) 89997-63-7";Tooteliik 18;31.12.2024;Unichem, d.o.o.;"1) 0,5 g/100g; 2) 0,01 g/100g";Tavatarbija ja kutsealaseks kasutamiseks
Sipelgate tõrjevedelik, kasutusvalmis lahus (AL);"1) Permetriin; 2) Tanacetum cinerariifolium'i avanenud, küpsetest õitest ülekriitilise süsinikdioksiidiga ekstraheerimise teel Chrysanthemum cinerariaefolium'i ekstrakt";"1) 52645-53-1; 2) 89997-63-7";Tooteliik 18;31.12.2024;Unichem, d.o.o.;"1) 0,25 g/100g; 2) 0,01 g/100g";Tavatarbija ja kutsealaseks kasutamiseks
Incidin Liquid;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 2;1.05.2022;Ecolab sp. z o.o.;"1) 25 g/100g; 2) 35 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
Incidin Alcohol Wipe;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 2;1.05.2022;Ecolab sp. z o.o.;"1) 25 g/100g; 2) 35 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
"Lysol antibakteriaalsed puhastuslapid Base; Lysol antibakteriaalsed puhastuslapid Original; Lysol antibakteriaalsed puhastuslapid Herbal; Lysol antibakteriaalsed puhastuslapid Apple";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Lysol Simply Multi antibakteriaalsed puhastuslapid pindadele Base; Lysol Simply Multi antibakteriaalsed puhastuslapid pindadele Spring; Lysol Simply Multi antibakteriaalsed puhastuslapid pindadele Oxygen Splash; Lysol Simply Multi antibakteriaalsed puhastuslapid pindadele Citrus";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;3,2 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Lysol desinfitseeriv puhastusvahend pindadele Original; Lysol desinfitseeriv puhastusvahend pindadele Apple; Lysol desinfitseeriv puhastusvahend pindadele Herbal";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Lysol desinfitseeriv vannitoa puhastusvahend Ocean Mist; Lysol desinfitseeriv vannitoa puhastusvahend Citrus Fresh;";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,4 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Lysol Simply universaalne desinfitseeriv puhastusvahend Lavender & Orange Blossom; Lysol Simply universaalne desinfitseeriv puhastusvahend Green Apple & Grapefruit; Lysol Simply universaalne desinfitseeriv puhastusvahend Lime & Lemongrass";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,4 g/100g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
grotamar® 71;"Paraformaldehüüdi ja 2-hüdroksüpropüülamiini (vahekorras 3:2) reaktsiooni saadused; [MBO]";66204-44-2;Tooteliik 6;31.12.2024;"Schülke & Mayr GmbH; Alates 15.11.2019; Vink Chemicals GmbH&Co. KG";"100 g/100g; Alates 15.11.2019; 1000 g/kg";Kutsealaseks ja tööstuslikuks kasutamiseks
grotan®OX;"Paraformaldehüüdi ja 2-hüdroksüpropüülamiini (vahekorras 3:2) reaktsiooni saadused; [MBO]";66204-44-2;Tooteliik 2, 6, 11, 12, 13;31.12.2024;"Schülke & Mayr GmbH; Alates 15.11.2019; Vink Chemicals GmbH&Co. KG";"100 g/100g; Alates 15.11.2019; 1000 g/kg";Kutsealaseks ja tööstuslikuks kasutamiseks
Divosan Sanibright VS59;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin (diamiin);2372-82-9;Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;0,021;Kutsealaseks ja tööstuslikuks kasutamiseks
Protect OS-320;"1) Vaskhüdroksiid; 2) Didetsüülmetüülpolü (oksüetüül)ammoniumpropionaat; 3) Tebukonasool ; 4) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin);";"1) 20427-59-2; 2) 94667-33-1; 3) 107534-96-3 ; 4) 2372-82-9;";Tooteliik 8;31.12.2024;Protim Limited t/a Koppers Performance Chemicals;"1) 4,439% ; 2) 3,60% ; 3) 0,19% ; 4) 0,035% ; Alates 30.04.2019; 1) 4,439% ; 2) 3,60% ; 3) 0,19% ; 4) 0,1% ;";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni direktiiv 2012/2/EL; 2) Komisjoni rakendusmäärus (EL) 2016/1093; 3) Komisjoni direktiiv 2008/86/EÜ"
Biostop Aqua V;"1) 3-jodo-2-propünüülbutüülkarbamaat; 2) Tebukonasool; 3) Permetriin; 4) N-didetsüül-N-dipolüetoksüammooniumboraat/didet-süülpolüoksetüülammooniumboraat (polümeerne betaiin)";"1) 55406-53-6; 2) 107534-96-3; 3) 52645-53-1; 4) 214710-34-6";Tooteliik 8;31.12.2024;Eskaro AS;"1) 5,4 g/kg; 2) 1,5 g/kg; 3) 0,7 g/kg; 4) 0,72 g/kg";"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni direktiiv 2008/79/EÜ; 2) Komisjoni direktiiv 2008/86/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
APESIN food;L(+)-piimhape;79-33-4;Tooteliik 4;1.05.2022;tana-Chemie GmbH;5,6 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
APESIN alcogel F;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 1;1.05.2022;tana-Chemie GmbH;"1) 30 g/100g; 2) 45 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
APESIN handactive F;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 1;1.05.2022;tana-Chemie GmbH;"1) 30 g/100g; 2) 45 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
APESIN spray F;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 1) 67-63-0";Tooteliik 2, 4;1.05.2022;tana-Chemie GmbH;"1) 25 g/100g; 2) 40 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001; 2) Komisjoni rakendusmäärus (EL) 2015/407"
SURE Ice&Shake;L(+)-piimhape;79-33-4;Tooteliik 2, 4;1.05.2022;Diversey Polska Sp. Z.o.o.;0,299;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Wolmanit AM-50;"1) 2-oktüül-2H-isotiasool-3- oon (OIT) ; 2) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu";"1) 26530-20-1; 2) 55965-84-9";Tooteliik 11;31.12.2024;BASF Wolman GmbH;"1) 6%; 2) 3%";"Tööstuslikuks kasutamiseks; Komisjoni rakendusmäärus (EL) 2016/131"
BROS Sipelgapulber MAX;"1) Permetriin; 2) Geraniool";"1) 52645-53-1; 2) 106-24-1";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 0,5%; 2) 0,001%";"Tavatarbija; Komisjoni rakendusmäärus (EL) 1090/2014"
BROS Roomavate putukate aerosool I;"1) Piperonüülbutoksiid; 2) Permetriin; 3) Tetrametriin";"1) 51-03-6; 2) 52645-53-1; 3) 7696-12-0";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 10 g/kg; 2) 2 g/kg; 3) 2 g/kg";"Tavatarbija; Komisjoni rakendusmäärus (EL) 2016/2288 ; Komisjoni rakendusmäärus (EL) 1090/2014"
"Dettol Baby antibakteriaalne sprei pindadele Original ; Dettol Baby antibakteriaalne sprei pindadele Apple; Dettol Baby antibakteriaalne sprei pindadele Herbal";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol Baby antibakteriaalsed puhastuslapid pindadele Base; Dettol Baby antibakteriaalsed puhastuslapid pindadele Original; Dettol Baby antibakteriaalsed puhastuslapid pindadele Herbal Rose; Dettol Baby antibakteriaalsed puhastuslapid pindadele Apple";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol Baby biolagunevad antibakteriaalsed puhastuslapid pindadele Original; Dettol Baby biolagunevad antibakteriaalsed puhastuslapid pindadele Herbal; Dettol Baby biolagunevad antibakteriaalsed puhastuslapid pindadele Apple;";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol antibakteriaalne sprei pindadele Original; Dettol antibakteriaalne sprei pindadele Apple; Dettol antibakteriaalne sprei pindadele Herbal";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol antibakteriaalsed puhastuslapid pindadele Base; Dettol antibakteriaalsed puhastuslapid pindadele Original; Dettol antibakteriaalsed puhastuslapid pindadele Herbal Rose; Dettol antibakteriaalsed puhastuslapid pindadele Apple";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol biolagunevad antibakteriaalsed puhastuslapid pindadele Original; Dettol biolagunevad antibakteriaalsed puhastuslapid pindadele Herbal; Dettol biolagunevad antibakteriaalsed puhastuslapid pindadele Apple";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,24 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol vannitoa puhastussprei Citrus Fresh ; Dettol duši puhastussprei Ocean Mist";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,4 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol Multi puhastussprei pindadele Lavender & Orange Blossom; Dettol Multi puhastussprei pindadele Green Apple & Grapefruit; Dettol Multi puhastussprei pindadele Lime & Lemongrass";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;2,4 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol Power & Pure biolagunevad antibakteriaalsed köögi puhastuslapid; Dettol Power & Pure biolagunevad antibakteriaalsed vannitoa puhastuslapid; Dettol Power & Pure biolagunevad antibakteriaalsed pliidi ja valamu puhastuslapid";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;3,2 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
"Dettol Power & Pure antibakteriaalsed köögi puhastuslapid; Dettol Power & Pure antibakteriaalsed vannitoa puhastuslapid; Dettol Power & Pure antibakteriaalsed pliidi ja valamu puhastuslapid";L(+)-piimhape;79-33-4;Tooteliik 2;1.05.2022;SIA Reckitt Benckiser Latvia;3,2 g/100 g;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002"
Nuosept MIT-10;2-metüül-2H-isotiasool-3- oon;2682-20-4;Tooteliik 6;31.12.2024;Troy Chemical Company BV;9,9 g/100g;Tööstuslikuks kasutamiseks
BROS Herilaste ja vapsikute aerosool I;"1) Piperonüülbutoksiid; 2) Pralletriin; 3) Permetriin";"1) 51-03-6; 2) 23031-36-9; 3) 52645-53-1";Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;"1) 9 g/kg; 2) 0,8 g/kg; 3) 3 g/kg";"Tavatarbija; Komisjoni rakendusmäärus (EL) 2016/2288 ; Komisjoni rakendusmäärus (EL) 1090/2014"
